"time","W.mean_value"
"2024-02-10T00:24:00.000+04:00","852.5"
"2024-02-10T11:48:00.000+04:00",
"2024-02-10T23:12:00.000+04:00",
"2024-02-11T10:36:00.000+04:00","592.6666666666666"
"2024-02-11T22:00:00.000+04:00","892.5"
"2024-02-12T09:24:00.000+04:00","1151.3333333333333"
"2024-02-12T20:48:00.000+04:00",
"2024-02-13T08:12:00.000+04:00","0"
"2024-02-13T19:36:00.000+04:00",
"2024-02-14T07:00:00.000+04:00","483.42857142857144"
"2024-02-14T18:24:00.000+04:00",
"2024-02-15T05:48:00.000+04:00","856"
"2024-02-15T17:12:00.000+04:00","0"
"2024-02-16T04:36:00.000+04:00","0"
"2024-02-16T16:00:00.000+04:00",
"2024-02-17T03:24:00.000+04:00",
"2024-02-17T14:48:00.000+04:00",
"2024-02-18T02:12:00.000+04:00","563.6666666666666"
"2024-02-18T13:36:00.000+04:00",
"2024-02-19T01:00:00.000+04:00",
"2024-02-19T12:24:00.000+04:00",
"2024-02-19T23:48:00.000+04:00","849"
"2024-02-20T11:12:00.000+04:00","0"
"2024-02-20T22:36:00.000+04:00",
"2024-02-21T10:00:00.000+04:00",
"2024-02-21T21:24:00.000+04:00","29"
"2024-02-22T08:48:00.000+04:00","289"
"2024-02-22T20:12:00.000+04:00",
"2024-02-23T07:36:00.000+04:00",
"2024-02-23T19:00:00.000+04:00",
"2024-02-24T06:24:00.000+04:00","563.3333333333334"
"2024-02-24T17:48:00.000+04:00",
"2024-02-25T05:12:00.000+04:00",
"2024-02-25T16:36:00.000+04:00",
"2024-02-26T04:00:00.000+04:00","690.2"
"2024-02-26T15:24:00.000+04:00",
"2024-02-27T02:48:00.000+04:00","842.75"
"2024-02-27T14:12:00.000+04:00",
"2024-02-28T01:36:00.000+04:00","569.3333333333334"
"2024-02-28T13:00:00.000+04:00",
"2024-02-29T00:24:00.000+04:00","841.5"
"2024-02-29T11:48:00.000+04:00","856.5"
"2024-02-29T23:12:00.000+04:00",
"2024-03-01T10:36:00.000+04:00","0"
"2024-03-01T22:00:00.000+04:00",
"2024-03-02T09:24:00.000+04:00","856"
"2024-03-02T20:48:00.000+04:00",
"2024-03-03T08:12:00.000+04:00","0"
"2024-03-03T19:36:00.000+04:00",
"2024-03-04T07:00:00.000+04:00","670.5"
"2024-03-04T18:24:00.000+04:00",
"2024-03-05T05:48:00.000+04:00","18.6"
"2024-03-05T17:12:00.000+04:00",
"2024-03-06T04:36:00.000+04:00","647.75"
"2024-03-06T16:00:00.000+04:00",
"2024-03-07T03:24:00.000+04:00","0"
"2024-03-07T14:48:00.000+04:00",
"2024-03-08T02:12:00.000+04:00",
"2024-03-08T13:36:00.000+04:00",
"2024-03-09T01:00:00.000+04:00","584"
"2024-03-09T12:24:00.000+04:00",
"2024-03-09T23:48:00.000+04:00","850.5"
"2024-03-10T11:12:00.000+04:00",
"2024-03-10T22:36:00.000+04:00",
"2024-03-11T10:00:00.000+04:00","555.6666666666666"
"2024-03-11T21:24:00.000+04:00",
"2024-03-12T08:48:00.000+04:00","826"
"2024-03-12T20:12:00.000+04:00",
"2024-03-13T07:36:00.000+04:00","423.75"
"2024-03-13T19:00:00.000+04:00",
"2024-03-14T06:24:00.000+04:00","847.5"
"2024-03-14T17:48:00.000+04:00",
"2024-03-15T05:12:00.000+04:00","0"
"2024-03-15T16:36:00.000+04:00",
"2024-03-16T04:00:00.000+04:00","421.5"
"2024-03-16T15:24:00.000+04:00","0"
"2024-03-17T02:48:00.000+04:00","242.85714285714286"
"2024-03-17T14:12:00.000+04:00",
"2024-03-18T01:36:00.000+04:00","1"
"2024-03-18T13:00:00.000+04:00",
"2024-03-19T00:24:00.000+04:00","836.5"
"2024-03-19T11:48:00.000+04:00",
"2024-03-19T23:12:00.000+04:00","552.6666666666666"
"2024-03-20T10:36:00.000+04:00",
"2024-03-20T22:00:00.000+04:00",
"2024-03-21T09:24:00.000+04:00","853.5"
"2024-03-21T20:48:00.000+04:00","0"
"2024-03-22T08:12:00.000+04:00",
"2024-03-22T19:36:00.000+04:00",
"2024-03-23T07:00:00.000+04:00","858.5"
"2024-03-23T18:24:00.000+04:00",
"2024-03-24T05:48:00.000+04:00","0"
"2024-03-24T17:12:00.000+04:00",
"2024-03-25T04:36:00.000+04:00",
"2024-03-25T16:00:00.000+04:00",
"2024-03-26T03:24:00.000+04:00","0"
"2024-03-26T14:48:00.000+04:00",
"2024-03-27T02:12:00.000+04:00",
"2024-03-27T13:36:00.000+04:00",
"2024-03-28T01:00:00.000+04:00","0"
"2024-03-28T12:24:00.000+04:00",
"2024-03-28T23:48:00.000+04:00",
"2024-03-29T11:12:00.000+04:00",
"2024-03-29T22:36:00.000+04:00","863"
"2024-03-30T10:00:00.000+04:00","0"
"2024-03-30T21:24:00.000+04:00",
"2024-03-31T08:48:00.000+04:00",
"2024-03-31T20:12:00.000+04:00",
"2024-04-01T07:36:00.000+04:00","863"
"2024-04-01T19:00:00.000+04:00",
"2024-04-02T06:24:00.000+04:00","853.5"
"2024-04-02T17:48:00.000+04:00",
"2024-04-03T05:12:00.000+04:00","853.5"
"2024-04-03T16:36:00.000+04:00",
"2024-04-04T04:00:00.000+04:00",
"2024-04-04T15:24:00.000+04:00",
"2024-04-05T02:48:00.000+04:00",
"2024-04-05T14:12:00.000+04:00",
"2024-04-06T01:36:00.000+04:00","870.5"
"2024-04-06T13:00:00.000+04:00",
"2024-04-07T00:24:00.000+04:00",
"2024-04-07T11:48:00.000+04:00",
"2024-04-07T23:12:00.000+04:00",
"2024-04-08T10:36:00.000+04:00",
"2024-04-08T22:00:00.000+04:00",
"2024-04-09T09:24:00.000+04:00",
"2024-04-09T20:48:00.000+04:00",
"2024-04-10T08:12:00.000+04:00",
